method,batch_size,reference_match_rate,logit_abs_mean,logit_abs_max,kl_mean,validation_bpb,generations_per_second
fp32,1,1.0,0.0,0.0,2.1820921070059283e-09,0.8395,5.655196695586149
fp32,8,1.0,1.0824984059354393e-06,1.3220310211181641e-05,2.287120892674466e-09,0.8395,16.86977606110494
fp32,64,1.0,1.736724817646973e-06,1.6164779663085937e-05,5.23259460205594e-09,0.8395,11.820056781421531
fp16,1,0.95,0.0032210515812039374,0.023407711088657378,2.308831261643718e-06,0.8395,5.383494200855252
fp16,8,0.95,0.003208642010577023,0.023335172235965727,2.3331530087489226e-06,0.8395,15.706043675081531
fp16,64,0.95,0.003191950381733477,0.024230223894119263,2.3284304631943086e-06,0.8395,12.166339690826529
bf16,1,0.75,0.025600569788366556,0.18285905867815017,0.0001461082025343785,0.8396,4.921578548540705
bf16,8,0.7,0.025550537277013063,0.17963879853487014,0.00014555514462699648,0.8396,14.532421267282464
bf16,64,0.7,0.0256569248624146,0.18464174568653108,0.00014749235670024062,0.8396,11.6015520161719
static-int8,1,0.0,0.6924936726689339,4.879709410667419,0.0954689571633935,0.8752,2.9051700870277477
static-int8,8,0.0,0.6924936756491661,4.879709410667419,0.09546895660459995,0.8752,8.69093299960009
static-int8,64,0.0,0.6924936786293984,4.879709410667419,0.09546895548701287,0.8752,9.173883312691682
dynamic-int8,1,0.15,0.3516301393508911,3.4809961318969727,0.03416102519258857,0.8761,2.4048163788380164
dynamic-int8,8,0.15,0.35203920900821684,3.4809961318969727,0.034020721167325976,0.8761,7.966159464340853
dynamic-int8,64,0.15,0.352039210498333,3.4809961318969727,0.034020719956606625,0.8761,8.344475265860101
